6.5	qiyakayugwuuq#V	qiyakayugwuuq	V	[Ind.Intr]^[3Sg]		6	@~–(g)kayugu(V→V)		{}
6.6	qiyamaaq#V	qiyamaaq	V	[Ind.Intr]^[3Sg]		6	@~:(i/u)ma(V→V)		{}
6.7	qiyalghii#N	qiyalghii	N	[Abs.Sg]		6	@–lghii(V→N)		{}
6.8	qiyalgusightuuq#V	qiyalgusightuuq	V	[Ind.Intr]^[3Sg]		6	–lgusigh(V→V)		{}
6.9	qiyallequuq#V	qiyallequuq	V	[Ind.Intr]^[3Sg]		6	@lleqe(V→V)		{}
6.10	qiyamiquuq#V	qiyamiquuq	V	[Ind.Intr]^[3Sg]		6	@~fmiqe(CmpdVbl)		{}
6.11	qiyanaqlaataghtuuq#V	qiyanaqlaataghtuuq	V	[Ind.Intr]^[3Sg]		6	@~fnaqlaatagh(V→V)		{}
6.12	qiyanaaq#N	qiyanaaq	N	[Abs.Sg]		6	@~f–negh(V→N)		{}
6.13	qiyanghituuq#V	qiyanghituuq	V	[Ind.Intr]^[3Sg]		6	@–nghite(V→V)		{}
6.14	qiyangigwatuuq#V	qiyangigwatuuq	V	[Ind.Intr]^[3Sg]		6	@~:(ng)igate(V→V)		{}
6.15	qiyanginaghtuuq#V	qiyanginaghtuuq	V	[Ind.Intr]^[3Sg]		6	:(ng)inagh(V→V)		{}
6.16	qiyaragkiightuuq#V	qiyaragkiightuuq	V	[Ind.Intr]^[3Sg]		6	@~f–ragkiigh(V→V)		{}
6.17	qiyasaghaghtuuq#V	qiyasaghaghtuuq	V	[Ind.Intr]^[3Sg]		6	+saghagh(CmpdVbl)		{}
6.18	qiyastuuq#V	qiyastuuq	V	[Ind.Intr]^[3Sg]		6	+(te)ste(CmpdVbl)		{}
6.19	qiyatkuuq#V	qiyatkuuq	V	[Ind.Intr]^[3Sg]		6	@~:(u)tke(V→V)		{}
6.20	qiyavagtuuq#V	qiyavagtuuq	V	[Ind.Intr]^[3Sg]		6	~f–vag(V→V)		{}
6.21	qiyamiquuq#V	qiyamiquuq	V	[Ind.Intr]^[3Sg]		6	@~fmiqe(CmpdVbl)		{}
6.22	qiyangigwatuuq#V	qiyangigwatuuq	V	[Ind.Intr]^[3Sg]		6	@~:(ng)igate(V→V)		{}
6.23	qiyamaaq#V	qiyamaaq	V	[Ind.Intr]^[3Sg]		6	@~:(i/u)ma(V→V)		{}
6.24	qiyanghituuq#V	qiyanghituuq	V	[Ind.Intr]^[3Sg]		6	@–nghite(V→V)		{}
6.25	qiyanaanghituuq#V	qiyanaanghituuq	V	[Ind.Intr]^[3Sg]		6	@~fnaanghite(V→V)		{}
6.26	qiyamaaq#V	qiyamaaq	V	[Ind.Intr]^[3Sg]		6	@~:(i/u)ma(V→V)		{}
6.27	qiyaaquuq#V	qiyaaquuq	V	[Ind.Intr]^[3Sg]		6	~(g)aqe(V→V)		{}
6.28	qiyaaquuq#V	qiyaaquuq	V	[Ind.Intr]^[3Sg]		6	~(g)aqe(V→V)		{}
6.29	qiyaaquuq#V	qiyaaquuq	V	[Ind.Intr]^[3Sg]		6	~(g)aqe(V→V)		{}
6.30	qiyakaq#N	qiyakaq	N	[Abs.Sg]		6	@~–(g)kagh(V→N)		{}
6.31	qiyastuuq#V	qiyastuuq	V	[Ind.Intr]^[3Sg]		6	+(te)ste(CmpdVbl)		{}
6.32	qiyakaaguuq#V	qiyakaaguuq	V	[Ind.Intr]^[3Sg]		6	@~–(g)kau(V→V)		{}
6.33	qiyakaaguuq#V	qiyakaaguuq	V	[Ind.Intr]^[3Sg]		6	@~–(g)kau(V→V)		{}
6.34	qiyanghilnguuq#N	qiyanghilnguuq	N	[Abs.Sg]		6.33	@ngugh(V→N)		{}

7	aanuuq#V	aanuuq	V	[Ind.Intr]^[3Sg]					{}
7.1	aanaghesnaghtuuq#V	aanaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		7	~f(a)ghesnagh(V→V)		{}
7.2	aanumaaq#V	aanumaaq	V	[Ind.Intr]^[3Sg]		7	@~:(i/u)ma(V→V)		{}
7.3	aanlaghatuuq#V	aanlaghatuuq	V	[Ind.Intr]^[3Sg]		7	~f–laghate(V→V)		{}
7.4	aanaaq#V	aanaaq	V	[Ind.Intr]^[3Sg]		7	@~fna(V→V)		{}
7.5	aanaaq#V	aanaaq	V	[Ind.Intr]^[3Sg]		7	@~fna(V→V)		{}
7.6	aanaquuq#V	aanaquuq	V	[Ind.Intr]^[3Sg]		7	@~fnaqe(V→V)		{}
7.7	aanqaghtuuq#V	aanqaghtuuq	V	[Ind.Intr]^[3Sg]		7	~–qaghte(V→V)		{}
7.8	aanesigwatuuq#V	aanesigwatuuq	V	[Ind.Intr]^[3Sg]		7	+(te)sigate(CmpdVbl)		{}
7.9	aanesugtuuq#V	aanesugtuuq	V	[Ind.Intr]^[3Sg]		7	+(te)sug(CmpdVbl)		{}
7.10	aanutuuq#V	aanutuuq	V	[Ind.Intr]^[3Sg]		7	@~:(u)te(V→V)		{}
7.11	aanyaghaghtuuq#V	aanyaghaghtuuq	V	[Ind.Intr]^[3Sg]		7	@~fyaghagh(V→V)		{}
7.12	aanesquuq#V	aanesquuq	V	[Ind.Intr]^[3Sg]		7	~sf:(e)sqe(CmpdVbl)		{}
7.13	aanutuuq#V	aanutuuq	V	[Ind.Intr]^[3Sg]		7	@~:(u)te(V→V)		{}
7.14	aanellequuq#V	aanellequuq	V	[Ind.Intr]^[3Sg]		7	@lleqe(V→V)		{}
7.15	aanaquuq#V	aanaquuq	V	[Ind.Intr]^[3Sg]		7	@~fnaqe(V→V)		{}

8	taaquuq#V	taaquuq	V	[Ind.Intr]^[3Sg]					{}
8.1	taaqaghesnaghtuuq#V	taaqaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		8	~f(a)ghesnagh(V→V)		{}
