idx	word	raw	pos	infl	lookup	parent	deri	idk	js
6.12	qiyanaaq#N	qiyanaaq	N	[Abs.Sg]		6	@~f__egh(V__)		{}
6.13	qiyanghituuq#V	qiyanghituuq	V	[Ind.Intr]^[3Sg]		6	@__ghite(V__)		{}
6.14	qiyangigwatuuq#V	qiyangigwatuuq	V	[Ind.Intr]^[3Sg]		6	@~:(ng)igate(V__)		{}
6.15	qiyanginaghtuuq#V	qiyanginaghtuuq	V	[Ind.Intr]^[3Sg]		6	:(ng)inagh(V__)		{}
6.16	qiyaragkiightuuq#V	qiyaragkiightuuq	V	[Ind.Intr]^[3Sg]		6	@~f__agkiigh(V__)		{}
6.17	qiyasaghaghtuuq#V	qiyasaghaghtuuq	V	[Ind.Intr]^[3Sg]		6	#NAME?		{}
6.18	qiyastuuq#V	qiyastuuq	V	[Ind.Intr]^[3Sg]		6	+(te)ste(CmpdVbl)		{}
6.19	qiyatkuuq#V	qiyatkuuq	V	[Ind.Intr]^[3Sg]		6	@~:(u)tke(V__)		{}
6.2	qiyavagtuuq#V	qiyavagtuuq	V	[Ind.Intr]^[3Sg]		6	~f__ag(V__)		{}
6.21	qiyamiquuq#V	qiyamiquuq	V	[Ind.Intr]^[3Sg]		6	@~fmiqe(CmpdVbl)		{}
6.22	qiyangigwatuuq#V	qiyangigwatuuq	V	[Ind.Intr]^[3Sg]		6	@~:(ng)igate(V__)		{}
6.23	qiyamaaq#V	qiyamaaq	V	[Ind.Intr]^[3Sg]		6	@~:(i/u)ma(V__)		{}
6.24	qiyanghituuq#V	qiyanghituuq	V	[Ind.Intr]^[3Sg]		6	@__ghite(V__)		{}
6.25	qiyanaanghituuq#V	qiyanaanghituuq	V	[Ind.Intr]^[3Sg]		6	@~fnaanghite(V__)		{}
6.26	qiyamaaq#V	qiyamaaq	V	[Ind.Intr]^[3Sg]		6	@~:(i/u)ma(V__)		{}
6.27	qiyaaquuq#V	qiyaaquuq	V	[Ind.Intr]^[3Sg]		6	~(g)aqe(V__)		{}
6.28	qiyaaquuq#V	qiyaaquuq	V	[Ind.Intr]^[3Sg]		6	~(g)aqe(V__)		{}
6.29	qiyaaquuq#V	qiyaaquuq	V	[Ind.Intr]^[3Sg]		6	~(g)aqe(V__)		{}
6.3	qiyakaq#N	qiyakaq	N	[Abs.Sg]		6	@~_(g)kagh(V__)		{}
6.31	qiyastuuq#V	qiyastuuq	V	[Ind.Intr]^[3Sg]		6	+(te)ste(CmpdVbl)		{}
6.32	qiyakaaguuq#V	qiyakaaguuq	V	[Ind.Intr]^[3Sg]		6	@~_(g)kau(V__)		{}
6.33	qiyakaaguuq#V	qiyakaaguuq	V	[Ind.Intr]^[3Sg]		6	@~_(g)kau(V__)		{}
6.34	qiyanghilnguuq#N	qiyanghilnguuq	N	[Abs.Sg]		6.33	@ngugh(V__)		{}
									
7	aanuuq#V	aanuuq	V	[Ind.Intr]^[3Sg]					{}
7.1	aanaghesnaghtuuq#V	aanaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		7	~f(a)ghesnagh(V__)		{}
