iyatagh(V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]	iyataghpetuq
maqalla(N)^–ghllag(N→N)^~:(ng)u(N→V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]	maqallaghllaguftuq
neqekrangllagh(V)^@~fvig(V→N)^–lgu(N→V)^+(pete)fte(V→V)^[Ind.Intr]^[3Pl]	neqekrangllaghvilguftut
gaagh(V)^@~fvig(V→N)^~:(ng)u(N→V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]	gaaghviguftuq
qavaghni(V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]	qavaghniftuq
itegh(V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]	iteghpeteftuq
itegh(V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]	iteghpetuq
qiya(V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]	qiyaaquq
negh(V)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Sg]	neghaqaa
kaate(V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]	kaataquq
laalighte(V)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Sg]	laalightaqaa
qavagh(V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]	qavaghaquq
ategh(V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]	aatghaquq
negh(V)^@~fyug(V→V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]	neghyugaquq
nenglagh(V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]	nenglaghaquq
nenglagh(V)^~(g)aqe(V→V)^[Sbrd.Intr]^[4Sg]	nenglaghaqluni
iyatagh(V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]	iyataghaquq
avii(V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]	aviigaquq
igamsiqanagh(V)^~sf–ghhaleg(V→PTCL)	igamsiqanaghhalek
seghlegh(N)^~sf–ghhaleg(N→PTCL)	seghleghhalek
suka(N)^~sf–ghhaleg(N→PTCL)	sukaghhalek
sungagha(N)^~sf–ghhaleg(N→PTCL)	sungaghaghhalek
pinigh(V)^~sf–ghhaleg(V→PTCL)	pinighhalek
ipeg(V)^~sf–ghhaleg(V→PTCL)	iipghalek
sullevnegh(N)^~sf–ghhaleg(N→PTCL)	sullevneghhalek
aghnagh(N)^–ghhagh*(N→N)^[Abs.Sg]	aghnaghhaq
qikmigh(N)^–ghhagh*(N→N)^[Abs.Sg]	qikmighhaq
kiiw(N)^–ghhagh*(N→N)^[Abs.Sg]	kiiwhaq
megh(N)^–ghhagh*(N→N)^[Abs.Sg]	meghhaq
qavagh(V)^–ghllag(V→V)^[Ind.Intr]^[3Sg]	qavaghllagtuq
aange(V)^–ghllag(V→V)^[Ind.Intr]^[3Sg]	aangeghllagtuq
nagnegh(V)^–ghllag(V→V)^[Ind.Intr]^[3Sg]	nagneghllagtuq
iyatagh(V)^–ghllagu(V→V)^[Ind.Intr]^[1Sg]	iyataghllaguunga
iyatagh(V)^–ghllagu(V→V)^[Intrg.Intr]^[3Sg]	iyataghllawaa
qepghagh(V)^–ghllagu(V→V)^[Ind.Intr]^[3Sg]	qepghaghllaguuq
neqekrangllagh(V)^–ghllagu(V→V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]	neqekrangllaghllaguftuq
nuna(N)^–ghllag(N→N)^[Abs.Sg]	nunaghllak
tume(N)^–ghllag(N→N)^[Abs.Pl]	tumeghllaget
angyagh(N)^–ghllag(N→N)^[Abs.Sg]	angyaghllak
atkug(N)^–ghllag(N→N)^[Abs.Sg]	atkugllak
qiighw(N)^–ghllag(N→N)^–lgu(N→V)^[Ind.Intr]^[3Sg]	qiighwllalguuq
kiiw(N)^–ghllag(N→N)^[Abs.Du]	kiiwhllagek
uughqaghtagh(N)^–ghllag(N→N)^[Abs.Sg]	uughqaghtaghllak
iqallug(N)^–ghnaggagh*(N→N)^[Abs.Sg]	iqallugnaggaq
aghnalqwaagh(N)^–ghnaggagh*(N→N)^[Abs.Sg]	aghnalqwaaghnaggaq
igugh(V)^@–ghpagte(V→V)^[Ind.Intr]^[3Sg]	igughpagtuq
igugh(V)^@–ghpagte(V→V)^[Ind.Trns]^[3Sg.3Sg]	igughpagtaa
nighugh(V)^@–ghpagte(V→V)^[Ind.Intr]^[3Sg]	nighughpagtuq
suugh(V)^@–ghpagte(V→V)^[Ind.Intr]^[3Sg]	suughpagtuq
nenge(V)^@–ghpagte(V→V)^[Ind.Intr]^[3Sg]	nengpagtuq
nuugte(V)^@–ghpagte(V→V)^[Ind.Intr]^[3Sg]	nuugpagtuq
amqeghte(V)^@–ghpagte(V→V)^[Ind.Intr]^[3Sg]	amqeghpagtuq
maalghug(NUM)^–ghqe(NUM→V)^[Ind.Intr]^[3Pl]	maalghugqut
pingayut(NUM)^–ghqe(NUM→V)^[Sbrd.Intr]^[4Pl]	pingayughqelluteng
pingayut(NUM)^–ghqe(NUM→V)^[Sbrd.Intr]^[4Pl]	pingayughqeluteng
angyagh(N)^–ghqu(N→V)^[Ind.Intr]^[3Sg]	angyaghquuq
megh(N)^–ghqu(N→V)^[Ind.Intr]^[3Sg]	meghquuq
atkug(N)^–ghqu(N→V)^[Ind.Intr]^[3Sg]	atkugquuq
repa(N)^–ghqu(N→V)^[Ind.Intr]^[3Sg]	repaghquuq
siqlugagh(N)^–ghqu(N→V)^[Ind.Intr]^[3Sg]	siqlugaghquuq
qanigh(N)^–ghquute(N→V)^[Ind.Intr]^[3Sg]	qanighquutuq
megh(N)^–ghquute(N→V)^[Ind.Intr]^[3Sg]	meghquutuq
alla(N)^–ghquute(N→V)^[Ind.Intr]^[3Sg]	allaghquutuq
eslallug(N)^–ghquute(N→V)^[Ind.Intr]^[3Sg]	eslallughquutuq
angyagh(V)^–ghraag(V→V)^[Ind.Intr]^[3Sg]	angyaghraagtuq
megh(V)^–ghraag(V→V)^[Ind.Intr]^[3Sg]	meghraagtuq
gheve(V)^–ghraag(V→V)^[Ind.Intr]^[3Sg]	ghevraagtuq
aqlagha(N)^–ghraag(N→V)^[Ind.Intr]^[3Sg]	aqlaghaghraagtuq
aastu(V)^–ghraag(V→V)^[Ind.Intr]^[3Sg]	aastughraagtuq
ighivagh(V)^–ghraag(V→V)^[Ind.Intr]^[3Sg]	ighivaghraagtuq
iqallugte(V)^–ghraag(V→V)^[Ind.Intr]^[3Sg]	iqallugteghraagtuq
kiive(V)^–ghraag(V→V)^[Ind.Intr]^[3Sg]	kiiveghraagtuq
mamleg(V)^–ghraag(V→V)^[Ind.Intr]^[3Sg]	mamlegraagtuq
pinigh(V)^–ghraag(V→V)^[Ind.Intr]^[3Sg]	pinighraagtuq
liigike(V)^–ghraag(V→V)^[Ind.Trns]^[1Pl.3Pl]	liigikeghraagaput
tenge(V)^–ghrug(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]	tengeghrugumalghii
mangteghagh(N)^–ghrugllag(N→N)^[Abs.Sg]	mangteghaghrugllak
mangteghagh(N)^–ghrugllag(N→N)^[Abs.Pl]	mangteghaghrugllaget
angyagh(N)^–ghrug(N→N)^[Abs.Sg]	angyaghruk
yug(N)^–ghrug(N→N)^[Abs.Sg]	yugruk
mangteghagh(N)^–ghrukutaaghllag(N→N)^[Abs.Pl]	mangteghaghrukutaaghllaget
yug(N)^–ghrukutaagh(N→N)^[Abs.Sg]	yugrukutaaq
nenglu(N)^–ghrukutaagh(N→N)^[Abs.Sg]	nenglughrukutaaq
quyngigh(N)^–ghrukutaagh(N→N)^[Abs.Sg]	quyngighrukutaaq
ukughsi(VOC.Pl)	ukughsi
maakughsi(VOC.Pl)	maakughsi
aqlagha(N)^–ghte(N→V)^[Ind.Intr]^[3Sg]	aqlaghaghtuq
aqlagha(N)^–ghte(N→V)^[Ind.Trns]^[3Sg.3Sg]	aqlaghaghtaa
nutaghagh(N)^–ghte(N→V)^[Ind.Intr]^[3Sg]	nutaghaghtuq
nuqutu(V)^–ghte(V→V)^[Ind.Intr]^[3Sg]	nuqutughtuq
iqetu(V)^–ghte(V→V)^[Ind.Intr]^[3Sg]	iqetughtuq
kavigh(N)^–ghte(N→V)^[Ind.Intr]^[3Sg]	kavightuq
qelmegh(V)^–ghte(V→V)^[Ind.Intr]^[3Sg]	qelmeghtuq
qelmegh(V)^–ghte(V→V)^[Ind.Trns]^[3Sg.3Sg]	qelmeghtaa
tangeghtu(V)^–ghte(V→V)^[Ind.Intr]^[3Sg]	tangeghtughtuq
muuga(N)^–ghte(N→V)^[Ind.Intr]^[3Sg]	muugaghtuq
segegh(N)^–ghte(N→V)^[Ind.Intr]^[3Sg]	segeghtuq
qanlengi(V)^–ghte(V→V)^[Ind.Intr]^[3Sg]	qanlengightuq
inghu(V)^~–(ghw/ngw/w)aagh(V→V)^[Ind.Intr]^[3Sg]	inghungwaaghtuq
qepghagh(V)^~–(ghw/ngw/w)aagh(V→V)^[Ind.Intr]^[3Sg]	qepghaghwaaghtuq
alleg(V)^~–(ghw/ngw/w)aagh(V→V)^[Ind.Intr]^[3Sg]	aallwaaghtuq
pangaleg(V)^~–(ghw/ngw/w)aagh(V→V)^[Ind.Intr]^[3Sg]	pangalwaaghtuq
esghagh(V)^~–(ghw/ngw/w)aagh(V→V)^[Ind.Intr]^[3Sg]	esghaghwaaghtuq
igagh(V)^~–(ghw/ngw/w)aagh(V→V)^[Ind.Intr]^[3Sg]	igaghwaaghtuq
nuna(N)^~–(ghw/ngw/w)aagh(N→N)^[Abs.Sg]	nunangwaaq
siku(N)^~–(ghw/ngw/w)aagh(N→N)^[Abs.Sg]	sikungwaaq
neqe(N)^~–(ghw/ngw/w)aagh(N→N)^[Abs.Sg]	neqngwaaq
sigute(N)^~–(ghw/ngw/w)aagh(N→N)^[Abs.Sg]	sigutngwaaq
qayagh(N)^~–(ghw/ngw/w)aagh(N→N)^[Abs.Sg]	qayaghwaaq
atkug(N)^~–(ghw/ngw/w)aagh(N→N)^[Abs.Sg]	atkuwaaq
ategh(N)^~–(ghw/ngw/w)aagh(N→N)^[Abs.Sg]	aatghwaaq
tugu(V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	tuguken
negh(V)^@~fyug(V→V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	neghyuken
esghagh(V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	esghaqen
kuuve(V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	kuuvegken
kuuve(V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	kuufken
amqeghte(V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	amqeghteken
amqeghte(V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	amqeghtegken
tuqute(V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	tuqutken
tuqute(V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	tuqusken
tuqute(V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	tuqutegken
neghe(V)^@–nghite(V→V)^@~–(g)ke(V→N)^[Abs.2SgPoss.Sg]	neghenghilken
esghagh(V)^@~–(g)ke(V→N)^[Abs.3SgPoss.Sg]	esghaqanga
esghagh(V)^[Ptcp.Trns]^[2Sg.3Sg]	esghaqen
esghagh(V)^[Ptcp.Trns]^[1Sg.3Sg]	esghaqegka
esghagh(V)^[Ptcp.Trns]^[3Sg.3Sg]	esghaqanga
esghagh(V)^[Ptcp.Trns]^[2Sg.1Sg]	esghaqevnga
esghagh(V)^[Ptcp.Trns]^[1Sg.2Sg]	esghaqemken
piniqe(V)^@–nghite(V→V)^[Ptcp.Trns]^[3Sg.3Sg]	piniqenghilkanga
tuqute(V)^[Ptcp.Trns]^[3Sg.3Sg]	tuqutkanga
tuqute(V)^[Ptcp.Trns]^[3Sg.3Sg]	tuquskanga
qiya(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	qiyakaaguq
qiya(V)^@~–(g)kau(V→V)^[Intrg.Intr]^[3Sg]	qiyakaawa
neghe(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	neghegkaaguq
neghe(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	neghqaaguq
kuuve(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	kuufkaaguq
kuuve(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	kuuvegkaaguq
taaqe(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	taaqegkaaguq
taaqe(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	taaqkaaguq
kaate(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	kaatkaaguq
kaate(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	kaaskaaguq
ingaghte(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	ingaghtekaaguq
qavagh(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	qavaqaaguq
